ID,SUBID,ALARMLEVEL,UNITTYPE,UNITID,EQPID,DESCRIPTION,STATUS,EDITEDTIME,CLEARTIME,SETTIME
666,7296,0,CRANE,C0STKA71_C02,C0STKA71,Light Curtain,1,8/19/2024 1:17:49 PM,2024-08-19 13:17:49,2024-08-19 13:02:28
666,7296,0,CRANE,C0STKA71_C01,C0STKA71,Light Curtain,1,8/19/2024 1:17:49 PM,2024-08-19 13:17:49,2024-08-19 13:02:28
666,7296,0,CRANE,C0STKA71_C01,C0STKA71,Light Curtain,1,8/19/2024 1:17:49 PM,2024-08-19 13:17:49,2024-08-19 13:02:28
2047,,5,PORT,C0STKA71_P08,C0STKA71,LIGHT CURTAIN DETECT,1,8/19/2024 1:10:45 PM,2024-08-19 13:10:45,2024-08-19 13:02:29
2047,,5,PORT,C0STKA71_P09,C0STKA71,LIGHT CURTAIN DETECT,1,8/19/2024 1:10:40 PM,2024-08-19 13:10:40,2024-08-19 13:02:29
2022,,5,PORT,C0STKA71_M01,C0STKA71,DRIVE MANUAL,1,8/19/2024 1:03:38 PM,2024-08-19 13:03:38,2024-08-19 13:03:35
1256,,10,STKMAIN,C0STKA71,C0STKA71,CPS#1 CONV RUN OFF,3,8/19/2024 1:17:21 PM,2024-08-19 13:17:21,2024-08-19 13:03:45
1112,,0,STKMAIN,C0STKA71,C0STKA71,NCP#1 EMO,1,8/19/2024 1:03:46 PM,2024-08-19 13:03:46,2024-08-19 13:03:46
1245,,5,STKMAIN,C0STKA71,C0STKA71,Optical Modem Data Receive Error (RM2),1,8/19/2024 1:17:49 PM,2024-08-19 13:17:49,2024-08-19 13:05:48
1242,,5,STKMAIN,C0STKA71,C0STKA71,Optical Modem Data Receive Error (RM1),1,8/19/2024 1:17:49 PM,2024-08-19 13:17:49,2024-08-19 13:05:49
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/19/2024 1:18:23 PM,2024-08-19 13:18:23,2024-08-19 13:15:54
372,0,0,CRANE,C0STKA71_C02,C0STKA71,DETECTING THE FORK RLS,1,8/19/2024 1:17:49 PM,2024-08-19 13:17:49,2024-08-19 13:17:49
662,0,0,CRANE,C0STKA71_C01,C0STKA71,Optical Modem,1,8/19/2024 1:18:11 PM,2024-08-19 13:18:11,2024-08-19 13:17:49
662,0,0,CRANE,C0STKA71_C01,C0STKA71,Optical Modem,1,8/19/2024 1:18:11 PM,2024-08-19 13:18:11,2024-08-19 13:17:49
662,0,0,CRANE,C0STKA71_C02,C0STKA71,Optical Modem,1,8/19/2024 1:18:13 PM,2024-08-19 13:18:13,2024-08-19 13:17:49
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:18:18 PM,2024-08-19 13:18:18,2024-08-19 13:18:12
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:18:32 PM,2024-08-19 13:18:32,2024-08-19 13:18:19
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:19:56 PM,2024-08-19 13:19:56,2024-08-19 13:18:34
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:20:02 PM,2024-08-19 13:20:02,2024-08-19 13:19:57
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:20:07 PM,2024-08-19 13:20:07,2024-08-19 13:20:03
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:20:12 PM,2024-08-19 13:20:12,2024-08-19 13:20:08
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:20:18 PM,2024-08-19 13:20:18,2024-08-19 13:20:13
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:29:13 PM,2024-08-19 13:29:13,2024-08-19 13:20:20
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/19/2024 1:23:35 PM,2024-08-19 13:23:35,2024-08-19 13:23:27
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/19/2024 1:29:19 PM,2024-08-19 13:29:19,2024-08-19 13:29:12
9910,,10,STKMAIN,C0STKA71,C0STKA71,No defined alarm[STKMAIN],3,8/19/2024 1:29:17 PM,2024-08-19 13:29:17,2024-08-19 13:29:12
9001,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM INTERLOCK,1,8/19/2024 1:29:17 PM,2024-08-19 13:29:17,2024-08-19 13:29:12
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/19/2024 1:29:18 PM,2024-08-19 13:29:18,2024-08-19 13:29:12
